Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
510-95-6347;B;Mandalay;Member;Female;Food and beverages;4852;3;7278;152838;3/5/2019;18:17:00;Ewallet;14556;4761904762;7278;4
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;7591;6;22773;478233;3/9/2019;18:21:00;Cash;45546;4761904762;22773;87
287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;7467;9;336015;7056315;1/22/2019;10:55:00;Ewallet;67203;4761904762;336015;94
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;4165;10;20825;437325;1/13/2019;17:04:00;Credit card;4165;4761904762;20825;54
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;4904;9;22068;463428;1/9/2019;14:20:00;Credit card;44136;4761904762;22068;86
381-20-0914;A;Yangon;Member;Female;Fashion accessories;2001;9;90045;1890945;1/12/2019;15:48:00;Credit card;18009;4761904762;90045;57
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;7831;10;39155;822255;3/5/2019;16:24:00;Ewallet;7831;4761904762;39155;66
756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;2038;5;5095;106995;1/22/2019;18:56:00;Cash;1019;4761904762;5095;6
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;9919;6;29757;624897;1/21/2019;14:42:00;Credit card;59514;4761904762;29757;55
847-38-7188;B;Mandalay;Normal;Female;Food and beverages;9668;3;14502;304542;1/26/2019;19:56:00;Ewallet;29004;4761904762;14502;64
480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;1925;8;77;1617;1/23/2019;18:37:00;Ewallet;154;4761904762;77;66
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;8036;4;16072;337512;2/23/2019;18:45:00;Credit card;32144;4761904762;16072;83
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;4891;5;122275;2567775;3/9/2019;10:17:00;Cash;24455;4761904762;122275;66
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;8306;7;29071;610491;3/5/2019;14:31:00;Ewallet;58142;4761904762;29071;4
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;7652;5;1913;40173;3/25/2019;10:23:00;Cash;3826;4761904762;1913;99
633-44-8566;A;Yangon;Member;Male;Food and beverages;4938;7;17283;362943;3/27/2019;20:35:00;Credit card;34566;4761904762;17283;73
504-35-8843;A;Yangon;Normal;Male;Sports and travel;4247;1;21235;445935;1/2/2019;16:57:00;Cash;4247;4761904762;21235;57
318-68-5053;B;Mandalay;Normal;Female;Health and beauty;7699;6;23097;485037;2/27/2019;17:55:00;Cash;46194;4761904762;23097;61
565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;4738;4;9476;198996;1/23/2019;10:25:00;Cash;18952;4761904762;9476;71
225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;4486;10;2243;47103;1/26/2019;19:54:00;Ewallet;4486;4761904762;2243;82
873-51-0671;A;Yangon;Member;Female;Sports and travel;2198;7;7693;161553;1/10/2019;16:42:00;Ewallet;15386;4761904762;7693;51
152-08-9985;B;Mandalay;Member;Male;Health and beauty;6436;9;28962;608202;3/12/2019;12:09:00;Credit card;57924;4761904762;28962;86
512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;8975;1;44875;942375;2/6/2019;20:05:00;Credit card;8975;4761904762;44875;66
594-34-4444;A;Yangon;Normal;Male;Electronic accessories;9716;1;4858;102018;3/8/2019;20:38:00;Ewallet;9716;4761904762;4858;72
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;8787;10;43935;922635;3/29/2019;10:25:00;Ewallet;8787;4761904762;43935;51
871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories;1245;6;3735;78435;2/9/2019;13:11:00;Cash;747;4761904762;3735;41
865-92-6136;A;Yangon;Normal;Male;Food and beverages;5275;3;79125;1661625;3/23/2019;10:16:00;Ewallet;15825;4761904762;79125;93
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;827;6;2481;52101;3/5/2019;18:14:00;Cash;4962;4761904762;2481;74
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;4871;1;24355;511455;3/26/2019;19:20:00;Cash;4871;4761904762;24355;41
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;7855;9;353475;7422975;3/1/2019;13:22:00;Cash;70695;4761904762;353475;72
551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;2307;9;103815;2180115;2/1/2019;11:27:00;Cash;20763;4761904762;103815;49
212-62-1842;A;Yangon;Normal;Male;Food and beverages;5826;6;17478;367038;3/28/2019;16:44:00;Cash;34956;4761904762;17478;99
716-39-1409;B;Mandalay;Normal;Male;Health and beauty;3035;7;106225;2230725;3/19/2019;18:19:00;Cash;21245;4761904762;106225;8
704-48-3927;A;Yangon;Member;Male;Electronic accessories;8867;10;44335;931035;1/12/2019;14:50:00;Ewallet;8867;4761904762;44335;73
628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;2738;6;8214;172494;1/5/2019;20:54:00;Credit card;16428;4761904762;8214;79
630-74-5166;A;Yangon;Normal;Male;Sports and travel;6213;6;18639;391419;3/22/2019;20:19:00;Cash;37278;4761904762;18639;74
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;3398;9;15291;321111;3/24/2019;10:43:00;Cash;30582;4761904762;15291;42
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;8197;10;40985;860685;3/3/2019;14:30:00;Cash;8197;4761904762;40985;92
479-26-8945;B;Mandalay;Member;Female;Sports and travel;1649;2;1649;34629;2/5/2019;11:32:00;Ewallet;3298;4761904762;1649;46
210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;9821;3;147315;3093615;2/5/2019;10:41:00;Credit card;29463;4761904762;147315;78
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;7284;7;25494;535374;2/15/2019;12:44:00;Cash;50988;4761904762;25494;84
645-44-1170;A;Yangon;Member;Male;Home and lifestyle;5807;9;261315;5487615;1/19/2019;20:07:00;Ewallet;52263;4761904762;261315;43
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;8079;9;363555;7634655;2/1/2019;20:31:00;Credit card;72711;4761904762;363555;95
225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories;2702;3;4053;85113;3/2/2019;13:01:00;Credit card;8106;4761904762;4053;71
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;2194;5;5485;115185;3/5/2019;12:29:00;Ewallet;1097;4761904762;5485;53
659-65-8956;B;Mandalay;Member;Male;Fashion accessories;5136;1;2568;53928;1/16/2019;15:26:00;Ewallet;5136;4761904762;2568;52
642-32-2990;A;Yangon;Normal;Female;Food and beverages;1096;10;548;11508;2/2/2019;20:48:00;Ewallet;1096;4761904762;548;6
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;5344;2;5344;112224;1/20/2019;20:38:00;Ewallet;10688;4761904762;5344;41
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;9956;8;39824;836304;2/14/2019;17:03:00;Credit card;79648;4761904762;39824;52
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;5712;7;19992;419832;1/12/2019;12:02:00;Credit card;39984;4761904762;19992;65
219-22-9386;B;Mandalay;Member;Male;Sports and travel;9996;9;44982;944622;3/9/2019;17:26:00;Credit card;89964;4761904762;44982;42
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;6391;8;25564;536844;3/13/2019;19:52:00;Credit card;51128;4761904762;25564;46
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;5647;8;22588;474348;3/9/2019;14:57:00;Ewallet;45176;4761904762;22588;73
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;9369;7;327915;6886215;3/10/2019;18:44:00;Credit card;65583;4761904762;327915;45
870-54-3162;A;Yangon;Normal;Female;Sports and travel;3225;5;80625;1693125;1/27/2019;13:26:00;Cash;16125;4761904762;80625;9
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;3173;9;142785;2998485;1/8/2019;16:17:00;Credit card;28557;4761904762;142785;59
663-86-9076;C;Naypyitaw;Member;Female;Food and beverages;6854;8;27416;575736;1/8/2019;15:57:00;Ewallet;54832;4761904762;27416;85
549-84-7482;B;Mandalay;Normal;Female;Sports and travel;9028;9;40626;853146;2/8/2019;11:15:00;Ewallet;81252;4761904762;40626;72
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;3962;7;13867;291207;1/25/2019;13:18:00;Cash;27734;4761904762;13867;75
802-70-5316;A;Yangon;Member;Female;Sports and travel;9213;6;27639;580419;3/6/2019;20:34:00;Cash;55278;4761904762;27639;83
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;3484;4;6968;146328;2/10/2019;18:36:00;Cash;13936;4761904762;6968;74
590-83-4591;B;Mandalay;Member;Male;Electronic accessories;8745;6;26235;550935;2/17/2019;14:40:00;Credit card;5247;4761904762;26235;88
483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty;813;6;2439;51219;3/8/2019;16:43:00;Ewallet;4878;4761904762;2439;53
597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories;9022;3;13533;284193;2/18/2019;19:39:00;Cash;27066;4761904762;13533;62
700-81-1757;A;Yangon;Normal;Female;Electronic accessories;2631;5;65775;1381275;1/18/2019;20:59:00;Credit card;13155;4761904762;65775;88
354-39-5160;A;Yangon;Member;Female;Home and lifestyle;3442;6;10326;216846;2/18/2019;15:39:00;Cash;20652;4761904762;10326;98
241-72-9525;B;Mandalay;Normal;Male;Sports and travel;5191;10;25955;545055;2/16/2019;12:21:00;Cash;5191;4761904762;25955;82
575-30-8091;A;Yangon;Normal;Male;Sports and travel;725;8;29;609;3/16/2019;19:25:00;Ewallet;580;4761904762;29;92
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;898;10;449;9429;1/23/2019;13:00:00;Credit card;898;4761904762;449;54
280-17-4359;C;Naypyitaw;Member;Male;Health and beauty;905;10;4525;95025;1/25/2019;13:48:00;Cash;905;4761904762;4525;81
338-65-2210;C;Naypyitaw;Member;Female;Health and beauty;686;10;343;7203;2/5/2019;19:57:00;Cash;686;4761904762;343;91
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages;3041;1;15205;319305;2/22/2019;10:36:00;Credit card;3041;4761904762;15205;84
239-10-7476;A;Yangon;Normal;Female;Home and lifestyle;7795;6;23385;491085;1/21/2019;16:37:00;Ewallet;4677;4761904762;23385;8
458-41-1477;C;Naypyitaw;Normal;Female;Health and beauty;4626;6;13878;291438;3/8/2019;17:11:00;Credit card;27756;4761904762;13878;95
685-64-1609;A;Yangon;Member;Female;Fashion accessories;3014;10;1507;31647;2/10/2019;12:28:00;Ewallet;3014;4761904762;1507;92
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty;6614;4;13228;277788;3/19/2019;12:46:00;Credit card;26456;4761904762;13228;56
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle;7186;8;28744;603624;3/6/2019;15:07:00;Credit card;57488;4761904762;28744;62
238-49-0436;A;Yangon;Normal;Male;Health and beauty;3246;8;12984;272664;3/27/2019;13:48:00;Credit card;25968;4761904762;12984;49
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;9154;4;18308;384468;3/23/2019;19:20:00;Credit card;36616;4761904762;18308;48
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel;3456;7;12096;254016;3/11/2019;16:07:00;Credit card;24192;4761904762;12096;73
746-94-0204;A;Yangon;Normal;Male;Fashion accessories;8324;9;37458;786618;1/29/2019;11:56:00;Credit card;74916;4761904762;37458;74
214-17-6927;C;Naypyitaw;Normal;Female;Food and beverages;1648;6;4944;103824;2/7/2019;18:23:00;Ewallet;9888;4761904762;4944;99
400-89-4171;C;Naypyitaw;Normal;Female;Sports and travel;8097;8;32388;680148;1/28/2019;13:05:00;Cash;64776;4761904762;32388;93
782-95-9291;A;Yangon;Member;Male;Food and beverages;9229;5;230725;4845225;2/20/2019;15:55:00;Credit card;46145;4761904762;230725;9
279-74-2924;B;Mandalay;Member;Male;Electronic accessories;7217;1;36085;757785;1/4/2019;19:40:00;Cash;7217;4761904762;36085;61
307-85-2293;B;Mandalay;Normal;Male;Home and lifestyle;5028;5;1257;26397;3/7/2019;13:58:00;Ewallet;2514;4761904762;1257;97
743-04-1105;B;Mandalay;Member;Male;Health and beauty;9722;9;43749;918729;3/30/2019;14:43:00;Ewallet;87498;4761904762;43749;6
423-57-2993;B;Mandalay;Normal;Male;Sports and travel;9339;6;28017;588357;3/27/2019;19:18:00;Ewallet;56034;4761904762;28017;10
894-41-5205;C;Naypyitaw;Normal;Female;Food and beverages;4318;8;17272;362712;1/19/2019;19:39:00;Credit card;34544;4761904762;17272;83
275-28-0149;A;Yangon;Normal;Male;Sports and travel;6369;1;31845;668745;2/25/2019;16:21:00;Cash;6369;4761904762;31845;6
101-17-6199;A;Yangon;Normal;Male;Food and beverages;4579;7;160265;3365565;3/13/2019;19:44:00;Credit card;32053;4761904762;160265;7
423-80-0988;C;Naypyitaw;Normal;Male;Sports and travel;764;2;764;16044;1/30/2019;19:42:00;Ewallet;1528;4761904762;764;65
548-46-9322;B;Mandalay;Normal;Male;Food and beverages;399;10;1995;41895;2/20/2019;15:24:00;Credit card;399;4761904762;1995;59
505-02-0892;B;Mandalay;Member;Male;Health and beauty;4257;8;17028;357588;2/25/2019;14:12:00;Ewallet;34056;4761904762;17028;56
234-65-2137;C;Naypyitaw;Normal;Male;Home and lifestyle;9558;10;4779;100359;1/16/2019;13:32:00;Cash;9558;4761904762;4779;48
687-47-8271;A;Yangon;Normal;Male;Fashion accessories;9898;10;4949;103929;2/8/2019;16:20:00;Credit card;9898;4761904762;4949;87
796-32-9050;A;Yangon;Normal;Male;Food and beverages;5128;6;15384;323064;1/19/2019;16:31:00;Cash;30768;4761904762;15384;65
105-31-1824;A;Yangon;Member;Male;Sports and travel;6952;7;24332;510972;2/1/2019;15:10:00;Credit card;48664;4761904762;24332;85
249-42-3782;A;Yangon;Normal;Male;Health and beauty;7001;5;175025;3675525;1/3/2019;11:36:00;Ewallet;35005;4761904762;175025;55
316-55-4634;B;Mandalay;Member;Male;Food and beverages;8005;5;200125;4202625;1/26/2019;12:45:00;Credit card;40025;4761904762;200125;94
733-33-4967;C;Naypyitaw;Normal;Male;Electronic accessories;2085;8;834;17514;3/3/2019;19:17:00;Cash;1668;4761904762;834;63
608-27-6295;B;Mandalay;Member;Male;Electronic accessories;5289;6;15867;333207;1/19/2019;17:34:00;Credit card;31734;4761904762;15867;98
414-12-7047;B;Mandalay;Normal;Male;Food and beverages;1979;8;7916;166236;1/18/2019;12:04:00;Ewallet;15832;4761904762;7916;87
827-26-2100;A;Yangon;Member;Male;Home and lifestyle;3384;9;15228;319788;3/21/2019;16:21:00;Ewallet;30456;4761904762;15228;88
175-54-2529;A;Yangon;Member;Male;Food and beverages;2217;8;8868;186228;3/3/2019;17:01:00;Credit card;17736;4761904762;8868;96
139-52-2867;C;Naypyitaw;Normal;Female;Fashion accessories;2251;7;78785;1654485;2/13/2019;10:50:00;Credit card;15757;4761904762;78785;48
407-63-8975;A;Yangon;Normal;Male;Food and beverages;7388;6;22164;465444;3/23/2019;19:16:00;Ewallet;44328;4761904762;22164;44
342-65-4817;C;Naypyitaw;Member;Male;Health and beauty;868;3;1302;27342;1/28/2019;16:47:00;Ewallet;2604;4761904762;1302;99
130-98-8941;C;Naypyitaw;Normal;Male;Fashion accessories;6426;7;22491;472311;2/9/2019;10:00:00;Cash;44982;4761904762;22491;57
434-83-9547;C;Naypyitaw;Member;Male;Food and beverages;3847;8;15388;323148;1/23/2019;11:51:00;Cash;30776;4761904762;15388;77
851-28-6367;A;Yangon;Member;Male;Sports and travel;155;10;775;16275;3/23/2019;10:55:00;Ewallet;155;4761904762;775;8
824-88-3614;C;Naypyitaw;Normal;Male;Health and beauty;3431;8;13724;288204;1/25/2019;15:00:00;Ewallet;27448;4761904762;13724;57
586-25-0848;A;Yangon;Normal;Female;Sports and travel;1234;7;4319;90699;3/4/2019;11:19:00;Credit card;8638;4761904762;4319;67
895-66-0685;B;Mandalay;Member;Male;Food and beverages;1808;3;2712;56952;3/5/2019;19:46:00;Ewallet;5424;4761904762;2712;8
305-14-0245;B;Mandalay;Member;Female;Home and lifestyle;9449;8;37796;793716;3/3/2019;19:00:00;Ewallet;75592;4761904762;37796;75
732-04-5373;B;Mandalay;Member;Male;Home and lifestyle;4647;4;9294;195174;2/8/2019;10:53:00;Cash;18588;4761904762;9294;7
400-60-7251;A;Yangon;Normal;Male;Home and lifestyle;7407;1;37035;777735;2/10/2019;12:50:00;Ewallet;7407;4761904762;37035;99
593-65-1552;C;Naypyitaw;Normal;Female;Home and lifestyle;6981;4;13962;293202;1/28/2019;20:50:00;Credit card;27924;4761904762;13962;59
284-34-9626;B;Mandalay;Normal;Female;Home and lifestyle;7704;3;11556;242676;2/11/2019;10:39:00;Credit card;23112;4761904762;11556;72
437-58-8131;B;Mandalay;Normal;Female;Fashion accessories;7352;2;7352;154392;1/15/2019;13:41:00;Ewallet;14704;4761904762;7352;46
286-43-6208;C;Naypyitaw;Normal;Female;Food and beverages;878;9;3951;82971;3/16/2019;19:08:00;Cash;7902;4761904762;3951;92
